Team,Contract Type,Status,Year Signed,Yrs,Total,APY,Guarantees,Amount Earned,Percent Earned,Effective APY,Name
Packers,Practice,Expired,1998,1,"$158,000","$158,000",$0,"$158,000",100.0%,"$158,000",Matt Hasselbeck
Packers,SFA,Expired,1999,1,"$250,000","$250,000",$0,"$250,000",100.0%,"$250,000",Matt Hasselbeck
Packers,ERFA,Traded,2000,2,"$750,000","$375,000","$30,000","$305,000",40.7%,"$305,000",Matt Hasselbeck
Seahawks,Extension,Expired,2000,4,"$18,105,000","$4,526,250","$2,000,000","$14,650,000",80.9%,"$3,662,500",Matt Hasselbeck
Seahawks,UFA,Expired,2005,6,"$48,000,000","$8,000,000","$17,000,000","$48,000,000",100.0%,"$8,000,000",Matt Hasselbeck
Titans,UFA,Terminated,2011,3,"$20,000,000","$6,666,667","$6,000,000","$14,500,000",72.5%,"$7,250,000",Matt Hasselbeck
Colts,SFA,Expired,2013,2,"$7,250,000","$3,625,000","$3,000,000","$7,250,000",100.0%,"$3,625,000",Matt Hasselbeck
Colts,UFA,Expired,2015,1,"$3,000,000","$3,000,000","$1,000,000","$3,000,000",100.0%,"$3,000,000",Matt Hasselbeck
Cowboys,Drafted,Renegotiated,1989,6,"$11,037,000","$1,839,500","$5,787,000","$7,287,000",66.0%,"$1,821,750",Troy Aikman
Cowboys,Extension,Renegotiated,1993,6,"$40,250,000","$6,708,333","$8,250,000","$30,000,000",74.5%,"$5,000,000",Troy Aikman
Cowboys,Extension,Terminated,1999,6,"$64,500,000","$10,750,000","$13,000,000","$18,250,000",28.3%,"$9,125,000",Troy Aikman
Patriots,Drafted,Renegotiated,1993,3,"$8,343,750","$2,781,250","$4,500,000","$6,806,250",81.6%,"$3,403,125",Drew Bledsoe
Patriots,Extension,Renegotiated,1995,6,"$40,462,500","$6,743,750","$12,900,000","$34,200,000",84.5%,"$5,700,000",Drew Bledsoe
Patriots,Extension,Traded,2001,9,"$95,400,000","$10,600,000","$8,000,000","$11,400,000",11.9%,"$11,400,000",Drew Bledsoe
Bills,Extension,Renegotiated,2001,9,"$95,400,000","$10,600,000","$8,000,000","$10,500,000",11.0%,"$5,250,000",Drew Bledsoe
Bills,Other,Terminated,2004,3,"$18,500,000","$6,166,667","$6,500,000","$8,750,000",47.3%,"$8,750,000",Drew Bledsoe
Cowboys,SFA,Terminated,2005,3,"$13,500,000","$4,500,000","$3,500,000","$8,000,000",59.3%,"$4,000,000",Drew Bledsoe
Falcons,Drafted,Traded,1991,3,"$1,431,000","$476,667","$450,000","$710,000",49.6%,"$710,000",Brett Favre
Packers,Drafted,Expired,1991,3,"$1,431,000","$476,667","$450,000","$720,000",50.3%,"$360,000",Brett Favre
Packers,RFA,Renegotiated,1994,5,"$19,000,000","$3,800,000","$2,500,000","$11,100,000",58.4%,"$3,700,000",Brett Favre
Packers,Extension,Renegotiated,1997,5,"$39,350,000","$7,870,000","$12,000,000","$26,350,000",67.0%,"$6,587,500",Brett Favre
Packers,Extension,Traded,2001,7,"$80,600,000","$11,514,286","$11,000,000","$62,527,000",77.6%,"$8,932,429",Brett Favre
