Team,Contract Type,Status,Year Signed,Yrs,Total,APY,Guarantees,Amount Earned,Percent Earned,Effective APY,Name
Browns,UFA,Expired,2018,2,"$6,500,000","$3,250,000","$4,150,000","$6,031,250",92.8%,"$3,015,625",Drew Stanton
Buccaneers,Practice,Expired,2020,1,"$204,000","$204,000",$0,"$24,000",11.8%,"$24,000",Drew Stanton
Chargers,Drafted,Expired,2006,4,"$2,318,000","$579,500","$708,000","$2,323,000",100.2%,"$580,750",Charlie Whitehurst
Chargers,RFA,Traded,2010,1,"$1,176,000","$1,176,000",$0,$0,0.0%,$0,Charlie Whitehurst
Seahawks,Extension,Expired,2010,1,"$6,824,000","$6,824,000","$2,000,000","$8,000,000",117.2%,"$4,000,000",Charlie Whitehurst
Chargers,UFA,Expired,2012,2,"$3,050,000","$1,525,000","$1,000,000","$3,050,000",100.0%,"$1,525,000",Charlie Whitehurst
Titans,UFA,Renegotiated,2014,2,"$4,000,000","$2,000,000","$2,000,000","$2,000,000",50.0%,"$2,000,000",Charlie Whitehurst
Titans,Other,Terminated,2015,1,"$2,000,000","$2,000,000",$0,$0,0.0%,$0,Charlie Whitehurst
Colts,Other,Expired,2015,1,"$2,000,000","$2,000,000",$0,"$751,838",37.6%,"$751,838",Charlie Whitehurst
Browns,SFA,Terminated,2016,1,"$1,000,000","$1,000,000",$0,$0,0.0%,$0,Charlie Whitehurst
Browns,Drafted,Traded,2004,5,"$2,475,000","$495,000","$550,000","$780,000",31.5%,"$780,000",Luke McCown
Buccaneers,Drafted,Expired,2004,5,"$2,475,000","$495,000","$550,000","$1,845,000",74.5%,"$461,250",Luke McCown
Buccaneers,UFA,Traded,2009,2,"$7,500,000","$3,750,000","$2,500,000",$0,0.0%,$0,Luke McCown
Jaguars,UFA,Expired,2009,2,"$7,500,000","$3,750,000","$2,500,000","$5,000,000",66.7%,"$2,500,000",Luke McCown
Jaguars,UFA,Expired,2011,1,"$1,800,000","$1,800,000","$250,000","$1,800,000",100.0%,"$1,800,000",Luke McCown
Saints,UFA,Terminated,2012,1,"$825,000","$825,000",$0,$0,0.0%,$0,Luke McCown
Falcons,SFA,Expired,2012,1,"$825,000","$825,000",$0,"$825,000",100.0%,"$825,000",Luke McCown
Saints,UFA,Expired,2013,1,"$825,000","$825,000",$0,"$840,000",101.8%,"$840,000",Luke McCown
Saints,UFA,Expired,2014,1,"$920,000","$920,000","$200,000","$920,000",100.0%,"$920,000",Luke McCown
Saints,UFA,Expired,2015,1,"$1,050,000","$1,050,000","$350,000","$1,050,000",100.0%,"$1,050,000",Luke McCown
Saints,UFA,Terminated,2016,2,"$3,000,000","$1,500,000","$500,000","$1,500,000",50.0%,"$1,500,000",Luke McCown
Cowboys,SFA,Terminated,2017,1,"$1,080,000","$1,080,000","$250,000",$0,0.0%,$0,Luke McCown
Patriots,Drafted,Expired,2005,4,"$1,439,000","$359,750","$54,000","$1,589,000",110.4%,"$397,250",Matt Cassel
Chiefs,Franchise,Terminated,2009,6,"$63,000,000","$10,500,000","$27,750,000","$46,000,000",73.0%,"$11,500,000",Matt Cassel
Vikings,SFA,Expired,2013,1,"$3,700,000","$3,700,000","$2,000,000","$3,700,000",100.0%,"$3,700,000",Matt Cassel
Bills,UFA,Terminated,2014,2,"$10,500,000","$5,250,000","$5,650,000",$0,0.0%,$0,Matt Cassel
Vikings,UFA,Traded,2014,2,"$10,500,000","$5,250,000","$5,650,000","$5,750,000",54.8%,"$5,750,000",Matt Cassel
Bills,SFA,Traded,2015,1,"$2,000,000","$2,000,000",$0,$0,0.0%,$0,Matt Cassel
Cowboys,SFA,Expired,2015,1,"$2,000,000","$2,000,000",$0,"$1,764,706",88.2%,"$1,764,706",Matt Cassel
Titans,UFA,Expired,2016,1,"$2,000,000","$2,000,000","$750,000","$2,000,000",100.0%,"$2,000,000",Matt Cassel
Titans,UFA,Terminated,2017,2,"$5,250,000","$2,625,000","$500,000","$2,750,000",52.4%,"$2,750,000",Matt Cassel
Lions,SFA,Expired,2018,1,"$1,105,000","$1,105,000",$0,"$1,105,000",100.0%,"$1,105,000",Matt Cassel
Dolphins,Drafted,Expired,2008,4,"$3,430,100","$857,525","$1,425,100","$3,475,100",101.3%,"$868,775",Chad Henne
Jaguars,UFA,Expired,2012,2,"$6,750,000","$3,375,000","$4,075,000","$8,250,000",122.2%,"$4,125,000",Chad Henne
Jaguars,UFA,Expired,2014,2,"$8,000,000","$4,000,000","$4,500,000","$8,000,000",100.0%,"$4,000,000",Chad Henne
Jaguars,UFA,Expired,2016,2,"$8,000,000","$4,000,000","$4,500,000","$4,500,000",56.3%,"$4,500,000",Chad Henne
Jaguars,UFA,Expired,2017,1,"$3,500,000","$3,500,000","$500,000","$3,500,000",100.0%,"$3,500,000",Chad Henne
Chiefs,UFA,Expired,2018,2,"$6,700,000","$3,350,000","$5,115,000","$6,700,000",100.0%,"$3,350,000",Chad Henne
Chiefs,UFA,Active,2020,2,"$3,250,000","$1,625,000","$2,000,000","$2,000,000",61.5%,"$2,000,000",Chad Henne
Buccaneers,Drafted,Expired,2008,4,"$1,877,500","$469,375","$172,500","$1,922,500",102.4%,"$480,625",Josh Johnson
49ers,UFA,Terminated,2012,2,"$2,115,000","$1,057,500","$350,000",$0,0.0%,$0,Josh Johnson
Browns,SFA,Expired,2012,1,"$700,000","$700,000",$0,"$41,176",5.9%,"$41,176",Josh Johnson
Bengals,UFA,Terminated,2013,2,"$1,895,000","$947,500","$150,000","$1,015,000",53.6%,"$1,015,000",Josh Johnson
Jets,SFA,Terminated,2015,1,"$745,000","$745,000",$0,$0,0.0%,$0,Josh Johnson
Bills,SFA,Expired,2015,1,"$745,000","$745,000",$0,"$525,882",70.6%,"$525,882",Josh Johnson
Giants,SFA,Expired,2016,1,"$885,000","$885,000",$0,"$885,000",100.0%,"$885,000",Josh Johnson
Giants,UFA,Terminated,2017,2,"$1,950,000","$975,000","$100,000",$0,0.0%,$0,Josh Johnson
Texans,SFA,Terminated,2017,2,"$1,815,000","$907,500",$0,$0,0.0%,$0,Josh Johnson
Texans,SFA,Expired,2017,1,"$900,000","$900,000",$0,"$52,941",5.9%,"$52,941",Josh Johnson
Raiders,SFA,Terminated,2018,1,"$1,005,000","$1,005,000","$45,000",$0,0.0%,$0,Josh Johnson
Redskins,SFA,Expired,2018,1,"$915,000","$915,000",$0,"$215,294",23.5%,"$215,294",Josh Johnson
Lions,SFA,Terminated,2019,1,"$1,030,000","$1,030,000",$0,$0,0.0%,$0,Josh Johnson
49ers,Practice,Expired,2020,1,"$204,000","$204,000",$0,"$96,000",47.1%,"$96,000",Josh Johnson
49ers,SFA,Terminated,2021,1,"$1,075,000","$1,075,000",$0,$0,0.0%,$0,Josh Johnson
Jets,SFA,Terminated,2021,1,"$1,075,000","$1,075,000",$0,$0,0.0%,$0,Josh Johnson
Jets,Practice,Elevated,2021,1,"$297,722","$297,722",$0,$0,0.0%,$0,Josh Johnson
Jets,Practice,Elevated,2021,1,"$252,000","$252,000",$0,$0,0.0%,$0,Josh Johnson
Jets,Practice,Terminated,2021,1,"$343,444","$343,444",$0,$0,0.0%,$0,Josh Johnson
Ravens,SFA,Active,2021,1,"$1,075,000","$1,075,000",$0,$0,0.0%,$0,Josh Johnson
Cowboys,UDFA,Terminated,2007,3,"$1,130,000","$376,667","$15,000",$0,0.0%,$0,Matt Moore
Panthers,UDFA,Expired,2007,3,"$1,130,000","$376,667","$15,000","$1,115,000",98.7%,"$371,667",Matt Moore
Panthers,RFA,Expired,2010,1,"$3,043,000","$3,043,000",$0,"$3,043,000",100.0%,"$3,043,000",Matt Moore
Dolphins,UFA,Expired,2011,2,"$5,025,000","$2,512,500","$1,500,000","$5,275,000",105.0%,"$2,637,500",Matt Moore
Dolphins,UFA,Expired,2013,2,"$8,000,000","$4,000,000","$4,000,000","$8,000,000",100.0%,"$4,000,000",Matt Moore
Dolphins,UFA,Expired,2015,1,"$2,600,000","$2,600,000","$1,600,000","$2,600,000",100.0%,"$2,600,000",Matt Moore
Dolphins,UFA,Expired,2016,2,"$3,550,000","$1,775,000","$2,250,000","$3,550,000",100.0%,"$1,775,000",Matt Moore
Chiefs,SFA,Expired,2019,1,"$1,030,000","$1,030,000",$0,"$1,030,000",100.0%,"$1,030,000",Matt Moore
Chiefs,SFA,Terminated,2020,1,"$1,187,500","$1,187,500","$887,500",$0,0.0%,$0,Matt Moore
Chiefs,Practice,Elevated,2020,1,"$204,000","$204,000",$0,$0,0.0%,$0,Matt Moore
Chiefs,Practice,Expired,2020,1,"$253,765","$253,765",$0,"$253,765",100.0%,"$253,765",Matt Moore
Colts,Drafted,Expired,1998,6,"$46,314,000","$7,719,000","$11,600,000","$46,314,000",100.0%,"$7,719,000",Peyton Manning
Colts,Franchise,Expired,2004,7,"$98,000,000","$14,000,000","$34,500,000","$98,000,000",100.0%,"$14,000,000",Peyton Manning
Colts,Franchise,Terminated,2011,5,"$90,000,000","$18,000,000","$20,000,000","$26,400,000",29.3%,"$26,400,000",Peyton Manning
Broncos,SFA,Renegotiated,2012,5,"$96,000,000","$19,200,000","$18,000,000","$58,000,000",60.4%,"$19,333,333",Peyton Manning
Broncos,Other,Reserve,2015,2,"$34,000,000","$17,000,000","$15,000,000","$19,000,000",55.9%,"$19,000,000",Peyton Manning
Eagles,Drafted,Renegotiated,1999,7,"$39,550,000","$5,650,000","$11,300,000","$12,639,000",32.0%,"$4,213,000",Donovan McNabb
Eagles,Extension,Renegotiated,2002,8,"$67,188,235","$8,398,529","$13,500,000","$51,688,235",76.9%,"$7,384,034",Donovan McNabb
Eagles,Other,Traded,2009,2,"$24,200,000","$12,100,000","$15,500,000","$12,437,500",51.4%,"$12,437,500",Donovan McNabb
Redskins,Extension,Traded,2010,5,"$74,250,000","$14,850,000","$5,000,000","$15,106,250",20.3%,"$15,106,250",Donovan McNabb
Vikings,Other,Terminated,2011,1,"$5,050,000","$5,050,000",$0,$0,0.0%,$0,Donovan McNabb
Patriots,Drafted,Expired,2005,4,"$1,439,000","$359,750","$54,000","$1,589,000",110.4%,"$397,250",Matt Cassel
Chiefs,Franchise,Terminated,2009,6,"$63,000,000","$10,500,000","$27,750,000","$46,000,000",73.0%,"$11,500,000",Matt Cassel
Vikings,SFA,Expired,2013,1,"$3,700,000","$3,700,000","$2,000,000","$3,700,000",100.0%,"$3,700,000",Matt Cassel
Bills,UFA,Terminated,2014,2,"$10,500,000","$5,250,000","$5,650,000",$0,0.0%,$0,Matt Cassel
Vikings,UFA,Traded,2014,2,"$10,500,000","$5,250,000","$5,650,000","$5,750,000",54.8%,"$5,750,000",Matt Cassel
Bills,SFA,Traded,2015,1,"$2,000,000","$2,000,000",$0,$0,0.0%,$0,Matt Cassel
Cowboys,SFA,Expired,2015,1,"$2,000,000","$2,000,000",$0,"$1,764,706",88.2%,"$1,764,706",Matt Cassel
Titans,UFA,Expired,2016,1,"$2,000,000","$2,000,000","$750,000","$2,000,000",100.0%,"$2,000,000",Matt Cassel
Titans,UFA,Terminated,2017,2,"$5,250,000","$2,625,000","$500,000","$2,750,000",52.4%,"$2,750,000",Matt Cassel
Lions,SFA,Expired,2018,1,"$1,105,000","$1,105,000",$0,"$1,105,000",100.0%,"$1,105,000",Matt Cassel
Patriots,Drafted,Renegotiated,2000,3,"$864,500","$288,167","$38,500","$559,500",64.7%,"$279,750",Tom Brady
Patriots,Extension,Renegotiated,2002,4,"$29,625,000","$7,406,250","$9,500,000","$18,500,000",62.4%,"$6,166,667",Tom Brady
Patriots,Extension,Renegotiated,2005,4,"$48,000,000","$12,000,000","$26,500,000","$54,000,000",112.5%,"$10,800,000",Tom Brady
Patriots,Extension,Renegotiated,2010,4,"$72,000,000","$18,000,000","$18,300,000","$48,500,000",67.4%,"$16,166,667",Tom Brady
Patriots,Other,Renegotiated,2013,5,"$57,000,000","$11,400,000","$33,000,000","$41,000,000",71.9%,"$13,666,667",Tom Brady
Patriots,Extension,Renegotiated,2016,2,"$41,000,000","$20,500,000","$28,000,000","$44,764,706",109.2%,"$14,921,569",Tom Brady
Patriots,Other,Expired,2019,1,"$23,000,000","$23,000,000","$22,000,000","$23,000,000",100.0%,"$23,000,000",Tom Brady
Buccaneers,UFA,Extended,2020,2,"$50,000,000","$25,000,000","$50,000,000","$27,875,000",55.8%,"$27,875,000",Tom Brady
Buccaneers,Extension,Active,2021,1,"$25,000,000","$25,000,000","$25,000,000","$40,000,000",160.0%,$0,Tom Brady
Bengals,Drafted,Renegotiated,2003,6,"$40,000,000","$6,666,667","$14,010,000","$14,500,000",36.3%,"$7,250,000",Carson Palmer
Bengals,Extension,Traded,2005,6,"$97,000,000","$16,166,667","$24,000,000","$69,500,000",71.6%,"$11,583,333",Carson Palmer
Raiders,Other,Traded,2011,4,"$43,000,000","$10,750,000","$5,000,000","$15,000,000",34.9%,"$7,500,000",Carson Palmer
Cardinals,Other,Renegotiated,2013,2,"$17,000,000","$8,500,000","$10,000,000","$8,000,000",47.1%,"$8,000,000",Carson Palmer
Cardinals,Extension,Renegotiated,2014,3,"$49,500,000","$16,500,000","$14,235,294","$29,500,000",59.6%,"$14,750,000",Carson Palmer
Cardinals,Extension,Reserve,2016,1,"$21,000,000","$21,000,000","$11,650,000","$36,000,000",171.4%,"$18,000,000",Carson Palmer
Raiders,Drafted,Terminated,2007,6,"$61,000,000","$10,166,667","$29,019,120","$36,365,000",59.6%,"$12,121,667",JaMarcus Russell
Steelers,Drafted,Renegotiated,2004,6,"$25,219,500","$4,203,250","$9,009,500","$16,218,500",64.3%,"$4,054,625",Ben Roethlisberger
Steelers,Extension,Renegotiated,2008,6,"$87,986,500","$14,664,417","$33,200,000","$88,505,882",100.6%,"$12,643,697",Ben Roethlisberger
Steelers,Extension,Renegotiated,2015,4,"$87,400,000","$21,850,000","$34,250,000","$82,000,000",93.8%,"$20,500,000",Ben Roethlisberger
Steelers,Extension,Renegotiated,2019,2,"$68,000,000","$34,000,000","$37,500,000","$66,000,000",97.1%,"$33,000,000",Ben Roethlisberger
Steelers,Other,Active,2021,1,"$14,000,000","$14,000,000","$14,000,000","$12,925,000",92.3%,$0,Ben Roethlisberger
Giants,Drafted,Renegotiated,2004,6,"$47,990,000","$7,998,333","$20,004,000","$41,590,000",86.7%,"$8,318,000",Eli Manning
Giants,Extension,Renegotiated,2009,6,"$97,500,000","$16,250,000","$20,500,000","$89,400,000",91.7%,"$14,900,000",Eli Manning
Giants,Extension,Expired,2015,4,"$84,000,000","$21,000,000","$36,500,000","$101,500,000",120.8%,"$20,300,000",Eli Manning
49ers,Drafted,Renegotiated,2005,6,"$49,500,000","$8,250,000","$24,000,000","$49,500,000",100.0%,"$8,250,000",Alex Smith
49ers,Other,Expired,2009,2,"$6,500,000","$3,250,000","$4,000,000","$7,500,000",115.4%,"$3,750,000",Alex Smith
49ers,UFA,Expired,2011,1,"$4,000,000","$4,000,000","$4,000,000","$6,500,000",162.5%,"$6,500,000",Alex Smith
Chiefs,UFA,Renegotiated,2012,3,"$24,000,000","$8,000,000","$9,000,000","$9,000,000",37.5%,"$9,000,000",Alex Smith
49ers,UFA,Traded,2012,3,"$24,000,000","$8,000,000","$9,000,000","$8,000,000",33.3%,"$8,000,000",Alex Smith
Chiefs,Extension,Traded,2014,4,"$68,000,000","$17,000,000","$19,000,000","$58,500,000",86.0%,"$14,625,000",Alex Smith
Redskins,UFA,Terminated,2018,4,"$94,000,000","$23,500,000","$55,000,000","$71,000,000",75.5%,"$23,666,667",Alex Smith
Falcons,Drafted,Traded,1991,3,"$1,431,000","$476,667","$450,000","$710,000",49.6%,"$710,000",Brett Favre
Packers,Drafted,Expired,1991,3,"$1,431,000","$476,667","$450,000","$720,000",50.3%,"$360,000",Brett Favre
Packers,RFA,Renegotiated,1994,5,"$19,000,000","$3,800,000","$2,500,000","$11,100,000",58.4%,"$3,700,000",Brett Favre
Packers,Extension,Renegotiated,1997,5,"$39,350,000","$7,870,000","$12,000,000","$26,350,000",67.0%,"$6,587,500",Brett Favre
Packers,Extension,Traded,2001,7,"$80,600,000","$11,514,286","$11,000,000","$62,527,000",77.6%,"$8,932,429",Brett Favre
Jets,Extension,Terminated,2001,7,"$80,600,000","$11,514,286","$11,000,000","$12,000,000",14.9%,"$12,000,000",Brett Favre
Vikings,SFA,Renegotiated,2009,2,"$25,000,000","$12,500,000","$6,000,000","$12,000,000",48.0%,"$12,000,000",Brett Favre
Vikings,Other,Expired,2010,1,"$16,000,000","$16,000,000","$4,400,000","$16,000,000",100.0%,"$16,000,000",Brett Favre
Chargers,Drafted,Renegotiated,2004,6,"$41,250,000","$6,875,000","$15,580,000","$35,600,000",86.3%,"$7,120,000",Philip Rivers
Chargers,Extension,Renegotiated,2009,6,"$91,800,000","$15,300,000","$33,350,000","$82,550,000",89.9%,"$13,758,333",Philip Rivers
Chargers,Extension,Expired,2015,4,"$83,250,000","$20,812,500","$37,500,000","$99,000,000",118.9%,"$19,800,000",Philip Rivers
Colts,UFA,Expired,2020,1,"$25,000,000","$25,000,000","$25,000,000","$25,000,000",100.0%,"$25,000,000",Philip Rivers
Broncos,Drafted,Traded,2006,6,"$34,112,500","$5,685,417","$11,050,000","$13,970,000",41.0%,"$4,656,667",Jay Cutler
Bears,Extension,Expired,2009,2,"$28,912,499","$14,456,250","$20,000,000","$49,904,999",172.6%,"$9,981,000",Jay Cutler
Bears,UFA,Terminated,2014,7,"$126,700,000","$18,100,000","$38,000,000","$54,000,000",42.6%,"$18,000,000",Jay Cutler
Dolphins,SFA,Expired,2017,1,"$10,000,000","$10,000,000","$5,000,000","$10,000,000",100.0%,"$10,000,000",Jay Cutler
Packers,UDFA,Terminated,1994,2,"$248,000","$124,000","$5,000",$0,0.0%,$0,Kurt Warner
Rams,SFA,Expired,1998,1,"$153,520","$153,520",$0,"$153,520",100.0%,"$153,520",Kurt Warner
Rams,ERFA,Renegotiated,1999,1,"$250,000","$250,000",$0,$0,0.0%,$0,Kurt Warner
Rams,Other,Expired,1999,1,"$750,000","$750,000","$500,000","$750,000",100.0%,"$750,000",Kurt Warner
Rams,ERFA,Terminated,2000,7,"$46,500,000","$6,642,857","$11,500,000","$27,100,000",58.3%,"$6,775,000",Kurt Warner
Giants,SFA,Expired,2004,1,"$3,000,000","$3,000,000","$1,500,000","$3,000,000",100.0%,"$3,000,000",Kurt Warner
Cardinals,SFA,Expired,2005,1,"$4,000,000","$4,000,000","$2,000,000","$4,000,000",100.0%,"$4,000,000",Kurt Warner
Cardinals,UFA,Expired,2006,3,"$15,000,000","$5,000,000","$3,000,000","$16,000,000",106.7%,"$5,333,333",Kurt Warner
Cardinals,UFA,Terminated,2009,2,"$23,000,000","$11,500,000","$19,000,000","$19,000,000",82.6%,"$19,000,000",Kurt Warner
Chargers,Drafted,Expired,2001,4,"$3,605,000","$901,250","$1,845,000","$6,605,000",183.2%,"$1,651,250",Drew Brees
Chargers,Franchise,Expired,2005,1,"$8,078,000","$8,078,000","$8,078,000","$8,078,000",100.0%,"$8,078,000",Drew Brees
Saints,UFA,Expired,2006,5,"$60,000,000","$10,000,000","$8,000,000","$60,000,000",100.0%,"$10,000,000",Drew Brees
Saints,Franchise,Renegotiated,2012,5,"$100,000,000","$20,000,000","$40,000,000","$80,000,000",80.0%,"$20,000,000",Drew Brees
Saints,Extension,Expired,2016,1,"$24,250,000","$24,250,000","$24,250,000","$44,250,000",182.5%,"$22,125,000",Drew Brees
Saints,UFA,Expired,2018,2,"$50,000,000","$25,000,000","$27,000,000","$50,000,000",100.0%,"$25,000,000",Drew Brees
Saints,UFA,Reserve,2020,2,"$50,000,000","$25,000,000","$25,000,000","$25,000,000",50.0%,"$25,000,000",Drew Brees
Falcons,Drafted,Traded,2004,3,"$1,365,000","$455,000","$445,000","$1,405,000",102.9%,"$468,333",Matt Schaub
Texans,RFA,Renegotiated,2007,6,"$48,000,000","$8,000,000","$7,000,000","$40,300,000",84.0%,"$8,060,000",Matt Schaub
Texans,Extension,Traded,2012,4,"$62,000,000","$15,500,000","$24,250,000","$29,700,000",47.9%,"$14,850,000",Matt Schaub
Raiders,Other,Terminated,2014,2,"$13,500,000","$6,750,000","$8,000,000","$8,000,000",59.3%,"$8,000,000",Matt Schaub
Ravens,SFA,Expired,2015,1,"$2,000,000","$2,000,000","$2,000,000","$3,000,000",150.0%,"$3,000,000",Matt Schaub
Falcons,UFA,Expired,2016,1,"$1,750,000","$1,750,000","$500,000","$1,750,000",100.0%,"$1,750,000",Matt Schaub
Falcons,UFA,Expired,2017,1,"$8,000,000","$4,000,000","$2,500,000","$8,000,000",100.0%,"$4,000,000",Matt Schaub
Falcons,UFA,Expired,2019,2,"$3,780,000","$1,890,000","$750,000","$3,780,000",100.0%,"$1,890,000",Matt Schaub
Falcons,Drafted,Renegotiated,2008,6,"$67,500,000","$11,250,000","$34,750,000","$57,500,000",85.2%,"$11,500,000",Matt Ryan
Falcons,Extension,Renegotiated,2013,5,"$103,750,000","$20,750,000","$42,000,000","$94,500,000",91.1%,"$18,900,000",Matt Ryan
Falcons,Extension,Active,2018,5,"$150,000,000","$30,000,000","$94,500,000","$115,500,000",77.0%,"$38,500,000",Matt Ryan
Packers,Drafted,Renegotiated,2005,5,"$7,655,000","$1,531,000","$4,077,500","$6,215,000",81.2%,"$2,071,667",Aaron Rodgers
Packers,Extension,Renegotiated,2008,5,"$63,520,000","$12,704,000","$20,000,000","$44,250,000",69.7%,"$8,850,000",Aaron Rodgers
Packers,Extension,Renegotiated,2013,5,"$110,000,000","$22,000,000","$54,000,000","$88,412,500",80.4%,"$17,682,500",Aaron Rodgers
Packers,Extension,Active,2018,4,"$134,000,000","$33,500,000","$78,700,000","$117,914,706",88.0%,"$39,304,902",Aaron Rodgers
Packers,Drafted,Terminated,1998,3,"$590,000","$196,667","$50,000",$0,0.0%,$0,Matt Hasselbeck
Packers,Practice,Expired,1998,1,"$158,000","$158,000",$0,"$158,000",100.0%,"$158,000",Matt Hasselbeck
Packers,SFA,Expired,1999,1,"$250,000","$250,000",$0,"$250,000",100.0%,"$250,000",Matt Hasselbeck
Packers,ERFA,Traded,2000,2,"$750,000","$375,000","$30,000","$305,000",40.7%,"$305,000",Matt Hasselbeck
Seahawks,Extension,Expired,2000,4,"$18,105,000","$4,526,250","$2,000,000","$14,650,000",80.9%,"$3,662,500",Matt Hasselbeck
Seahawks,UFA,Expired,2005,6,"$48,000,000","$8,000,000","$17,000,000","$48,000,000",100.0%,"$8,000,000",Matt Hasselbeck
Titans,UFA,Terminated,2011,3,"$20,000,000","$6,666,667","$6,000,000","$14,500,000",72.5%,"$7,250,000",Matt Hasselbeck
Colts,SFA,Expired,2013,2,"$7,250,000","$3,625,000","$3,000,000","$7,250,000",100.0%,"$3,625,000",Matt Hasselbeck
Colts,UFA,Expired,2015,1,"$3,000,000","$3,000,000","$1,000,000","$3,000,000",100.0%,"$3,000,000",Matt Hasselbeck
Ravens,Drafted,Terminated,2005,3,"$974,500","$324,833","$49,500",$0,0.0%,$0,Derek Anderson
Browns,Drafted,Expired,2005,3,"$974,500","$324,833","$49,500","$978,824",100.4%,"$326,275",Derek Anderson
Browns,RFA,Terminated,2008,3,"$24,000,000","$8,000,000","$7,000,000","$14,500,000",60.4%,"$7,250,000",Derek Anderson
Cardinals,SFA,Terminated,2010,2,"$7,250,000","$3,625,000","$2,500,000","$3,437,500",47.4%,"$3,437,500",Derek Anderson
Panthers,SFA,Expired,2011,1,"$735,000","$735,000","$50,000","$735,000",100.0%,"$735,000",Derek Anderson
Panthers,UFA,Expired,2012,1,"$890,000","$890,000","$65,000","$890,000",100.0%,"$890,000",Derek Anderson
Panthers,UFA,Expired,2013,1,"$905,000","$905,000","$65,000","$905,000",100.0%,"$905,000",Derek Anderson
Panthers,UFA,Renegotiated,2014,2,"$2,564,000","$1,282,000","$400,000","$1,300,000",50.7%,"$1,300,000",Derek Anderson
Panthers,Extension,Expired,2015,2,"$4,500,000","$2,250,000","$1,500,000","$5,757,750",128.0%,"$1,919,250",Derek Anderson
Bills,SFA,Expired,2018,1,"$1,073,530","$1,073,530","$58,530","$775,001",72.2%,"$775,001",Derek Anderson
Bills,UFA,Reserve,2019,1,"$1,120,000","$1,120,000","$90,000",$0,0.0%,$0,Derek Anderson
Jets,Drafted,Renegotiated,2000,5,"$5,755,010","$1,151,002","$4,131,010","$12,216,000",212.3%,"$3,054,000",Chad Pennington
Jets,Extension,Terminated,2004,7,"$64,198,000","$9,171,143","$18,000,000","$35,040,000",54.6%,"$8,760,000",Chad Pennington
Dolphins,SFA,Expired,2008,2,"$8,000,000","$4,000,000","$3,500,000","$11,500,000",143.8%,"$5,750,000",Chad Pennington
Dolphins,UFA,Expired,2010,1,"$5,750,000","$5,750,000","$1,000,000","$2,700,000",47.0%,"$2,700,000",Chad Pennington
49ers,Drafted,Renegotiated,2005,6,"$49,500,000","$8,250,000","$24,000,000","$49,500,000",100.0%,"$8,250,000",Alex Smith
49ers,Other,Expired,2009,2,"$6,500,000","$3,250,000","$4,000,000","$7,500,000",115.4%,"$3,750,000",Alex Smith
49ers,UFA,Expired,2011,1,"$4,000,000","$4,000,000","$4,000,000","$6,500,000",162.5%,"$6,500,000",Alex Smith
Chiefs,UFA,Renegotiated,2012,3,"$24,000,000","$8,000,000","$9,000,000","$9,000,000",37.5%,"$9,000,000",Alex Smith
49ers,UFA,Traded,2012,3,"$24,000,000","$8,000,000","$9,000,000","$8,000,000",33.3%,"$8,000,000",Alex Smith
Chiefs,Extension,Traded,2014,4,"$68,000,000","$17,000,000","$19,000,000","$58,500,000",86.0%,"$14,625,000",Alex Smith
Redskins,UFA,Terminated,2018,4,"$94,000,000","$23,500,000","$55,000,000","$71,000,000",75.5%,"$23,666,667",Alex Smith
Ravens,Drafted,Expired,2008,5,"$23,800,000","$4,760,000","$8,360,000","$23,800,000",100.0%,"$4,760,000",Joe Flacco
Ravens,UFA,Renegotiated,2013,6,"$120,600,000","$20,100,000","$51,000,000","$62,000,000",51.4%,"$20,666,667",Joe Flacco
Ravens,Extension,Traded,2016,3,"$66,400,000","$22,133,333","$44,000,000","$62,000,000",93.4%,"$20,666,667",Joe Flacco
Broncos,Extension,Terminated,2016,3,"$66,400,000","$22,133,333","$44,000,000","$18,500,000",27.9%,"$18,500,000",Joe Flacco
Jets,SFA,Expired,2020,1,"$1,500,000","$1,500,000","$550,000","$1,500,000",100.0%,"$1,500,000",Joe Flacco
Eagles,UFA,Traded,2021,1,"$3,500,000","$3,500,000","$3,500,000",$0,0.0%,$0,Joe Flacco
Jets,UFA,Active,2021,1,"$3,500,000","$3,500,000","$3,500,000",$0,0.0%,$0,Joe Flacco
Cowboys,UDFA,Expired,2003,2,"$540,000","$270,000","$10,000","$540,000",100.0%,"$270,000",Tony Romo
Cowboys,ERFA,Renegotiated,2005,2,"$1,880,000","$940,000","$320,000","$700,000",37.2%,"$700,000",Tony Romo
Cowboys,Extension,Renegotiated,2006,1,"$3,000,000","$3,000,000","$2,000,000","$3,180,000",106.0%,"$3,180,000",Tony Romo
Cowboys,Extension,Renegotiated,2007,6,"$67,500,000","$11,250,000","$11,500,000","$57,500,000",85.2%,"$9,583,333",Tony Romo
Cowboys,Extension,Terminated,2013,6,"$108,000,000","$18,000,000","$40,000,000","$65,500,000",60.6%,"$16,375,000",Tony Romo
Redskins,Drafted,Expired,2005,5,"$7,500,000","$7,500,000","$4,970,000","$10,215,000",136.2%,"$2,043,000",Jason Campbell
Redskins,RFA,Traded,2010,1,"$3,143,250","$3,143,250",$0,$0,0.0%,$0,Jason Campbell
Raiders,Extension,Expired,2010,1,"$4,600,000","$4,600,000",$0,"$7,743,250",168.3%,"$3,871,625",Jason Campbell
