Year,Team,Base Salary,Prorated Bonus,Roster Bonus,,CapNumber,Cap %,Cash Paid,Name
1991,Cowboys,"$1,250,000","$458,333",,"$1,250,000",,"$1,708,333",--,"$1,250,000",Troy Aikman
1992,Cowboys,"$1,500,000","$458,333",,$0,,"$1,958,333",--,"$1,500,000",Troy Aikman
1993,Cowboys,"$2,500,000","$1,489,583",,$0,,"$3,989,583",--,"$10,750,000",Troy Aikman
1994,Cowboys,"$1,750,000","$1,275,750",,$0,,"$3,025,750",8.7%,"$1,750,000",Troy Aikman
1995,Cowboys,"$1,120,000","$1,371,250",,$0,,"$2,491,250",6.7%,"$3,500,000",Troy Aikman
1996,Cowboys,"$4,000,000","$1,371,250",,$0,,"$5,371,250",13.2%,"$4,000,000",Troy Aikman
1997,Cowboys,"$4,500,000","$1,371,250",,$0,,"$5,871,250",14.2%,"$4,500,000",Troy Aikman
1998,Cowboys,"$3,750,000","$1,808,750",,$0,,"$5,558,750",10.6%,"$5,500,000",Troy Aikman
1999,Cowboys,"$3,000,000","$3,665,892",,$0,,"$6,665,892",11.6%,"$16,000,000",Troy Aikman
2000,Cowboys,"$2,250,000","$3,665,892",,$0,,"$5,915,892",9.5%,"$2,250,000",Troy Aikman
Year,Team,Base Salary,Prorated Bonus,Roster Bonus,Other Bonus,,Guaranteed Salary,,CapNumber,Cap %,Cash Paid,Name
1991,Falcons,"$260,000","$150,000",$0,$0,,$0,,"$410,000",--,"$710,000",Brett Favre
1992,Packers,"$310,000",$0,"$25,000",$0,,$0,,"$335,000",--,"$335,000",Brett Favre
1993,Packers,"$360,000",$0,"$25,000",$0,,$0,,"$385,000",--,"$385,000",Brett Favre
1994,Packers,"$1,225,000","$575,000","$500,000",$0,,$0,,"$2,300,000",6.6%,"$4,600,000",Brett Favre
1995,Packers,"$2,900,000","$575,000",$0,$0,,$0,,"$3,475,000",9.4%,"$2,900,000",Brett Favre
1996,Packers,"$3,600,000","$575,000",$0,$0,,$0,,"$4,175,000",10.2%,"$3,600,000",Brett Favre
1997,Packers,"$1,600,000","$2,575,000",$0,$0,,$0,,"$4,175,000",10.1%,"$13,600,000",Brett Favre
1998,Packers,"$3,100,000","$2,575,000",$0,$0,,$0,,"$5,675,000",10.8%,"$3,100,000",Brett Favre
1999,Packers,"$4,300,000","$2,000,000",$0,$0,,$0,,"$6,300,000",11.0%,"$4,300,000",Brett Favre
2000,Packers,"$450,000","$3,225,000",$0,$0,,$0,,"$3,675,000",5.9%,"$5,350,000",Brett Favre
2001,Packers,"$477,000","$5,058,333",$0,"$4,000,000",,$0,,"$9,535,333",14.1%,"$15,477,000",Brett Favre
2002,Packers,"$750,000","$5,258,333",$0,$0,,$0,,"$6,008,333",8.5%,"$2,150,000",Brett Favre
2003,Packers,"$4,300,000","$3,258,333","$1,600,000",$0,,$0,,"$9,158,333",12.2%,"$5,900,000",Brett Favre
2004,Packers,"$5,500,000","$2,233,333","$1,800,000",$0,,$0,,"$9,533,333",11.8%,"$8,500,000",Brett Favre
2005,Packers,"$6,500,000","$2,633,333","$1,000,000",$0,,$0,,"$10,133,333",11.9%,"$9,500,000",Brett Favre
2006,Packers,"$7,000,000","$2,633,335","$3,000,000",$0,,$0,,"$12,633,335",12.4%,"$10,000,000",Brett Favre
2007,Packers,"$11,000,000","$800,000",$0,$0,,$0,,"$11,800,000",10.8%,"$11,000,000",Brett Favre
2008,Jets,"$12,000,000",$0,$0,$0,,$0,,"$12,000,000",10.3%,"$12,000,000",Brett Favre
2009,Vikings,"$12,000,000",$0,$0,$0,,"$6,000,000",,"$12,000,000",9.8%,"$12,000,000",Brett Favre
2010,Vikings,"$11,600,000","$4,400,000",$0,$0,,$0,,"$16,000,000",--,"$16,000,000",Brett Favre
Year,Team,Base Salary,Prorated Bonus,Roster Bonus,,Guaranteed Salary,,CapNumber,Cap %,Cash Paid,Name
1993,Patriots,"$1,025,000","$750,000",$0,,$0,,"$1,775,000",--,"$5,525,000",Drew Bledsoe
1994,Patriots,"$1,281,250","$750,000",$0,,$0,,"$2,031,250",5.9%,"$1,281,250",Drew Bledsoe
1995,Patriots,"$1,000,000","$2,592,857",$0,,$0,,"$3,592,857",9.7%,"$13,900,000",Drew Bledsoe
1996,Patriots,"$1,500,000","$2,592,857",$0,,$0,,"$4,092,857",10.0%,"$1,500,000",Drew Bledsoe
1997,Patriots,"$2,700,000","$2,592,857",$0,,$0,,"$5,292,857",12.8%,"$2,700,000",Drew Bledsoe
1998,Patriots,"$4,500,000","$2,592,857",$0,,$0,,"$7,092,857",13.5%,"$4,500,000",Drew Bledsoe
1999,Patriots,"$4,195,000","$2,197,857",$0,,$0,,"$6,392,857",11.2%,"$5,260,000",Drew Bledsoe
2000,Patriots,"$6,340,000","$2,197,857",$0,,$0,,"$8,537,857",13.7%,"$6,340,000",Drew Bledsoe
2001,Patriots,"$3,400,000","$3,531,191",$0,,$0,,"$6,931,191",10.3%,"$11,400,000",Drew Bledsoe
2002,Bills,"$5,000,000",$0,$0,,$0,,"$5,000,000",7.0%,"$5,000,000",Drew Bledsoe
2003,Bills,"$5,500,000",$0,$0,,$0,,"$5,500,000",7.3%,"$5,500,000",Drew Bledsoe
2004,Bills,"$2,250,000","$2,166,666",$0,,$0,,"$4,416,666",5.5%,"$8,750,000",Drew Bledsoe
2005,Cowboys,"$2,000,000","$666,666",$0,,$0,,"$2,666,666",3.1%,"$4,000,000",Drew Bledsoe
2006,Cowboys,"$3,500,000","$666,666","$500,000",,"$1,500,000",,"$4,666,666",4.6%,"$4,000,000",Drew Bledsoe
Year,Team,Base Salary,Prorated Bonus,Roster Bonus,Workout Bonus,Other Bonus,,Guaranteed Salary,,CapNumber,Cap %,Cash Paid,Name
1993,Packers,"$114,500","$27,500",$0,$0,$0,,$0,,"$142,000",--,"$169,500",Mark Brunell
1994,Packers,"$143,125","$27,500",$0,$0,$0,,$0,,"$170,625",0.5%,"$143,125",Mark Brunell
1995,Jaguars,"$800,000",$0,$0,$0,$0,,$0,,"$800,000",2.2%,"$800,000",Mark Brunell
1996,Jaguars,"$800,000",$0,"$150,000",$0,$0,,$0,,"$950,000",2.3%,"$950,000",Mark Brunell
1997,Jaguars,"$1,000,000","$2,000,000","$150,000",$0,$0,,$0,,"$3,150,000",7.6%,"$11,150,000",Mark Brunell
1998,Jaguars,"$1,000,000","$2,500,000",$0,$0,$0,,$0,,"$3,500,000",6.7%,"$3,000,000",Mark Brunell
1999,Jaguars,"$400,000","$3,900,000",$0,$0,$0,,$0,,"$4,300,000",7.5%,"$4,600,000",Mark Brunell
2000,Jaguars,"$900,000","$6,400,000",$0,$0,$0,,$0,,"$7,300,000",11.7%,"$5,900,000",Mark Brunell
2001,Jaguars,"$500,000","$8,400,000",$0,$0,$0,,$0,,"$8,900,000",13.2%,"$8,500,000",Mark Brunell
2002,Jaguars,"$6,250,000","$2,000,000",$0,$0,$0,,$0,,"$8,250,000",11.6%,"$6,250,000",Mark Brunell
2003,Jaguars,"$6,750,000","$2,000,000",$0,$0,$0,,$0,,"$8,750,000",11.7%,"$6,750,000",Mark Brunell
2004,Redskins,"$760,000","$1,228,571",$0,$0,$0,,$0,,"$1,988,571",2.5%,"$9,360,000",Mark Brunell
